"TauSxy","TauFxy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0173,0.00037767,1,0,-0.000425,0,-0.000425
2.9818,0.00037821,1,0.0010001,-0.0004165,0.001,-0.0004165
2.9397,0.0003841,1,0.0020001,-0.000408,0.002,-0.000408
2.925,0.00039581,1,0.0030002,-0.0003995,0.003,-0.0003995
2.9528,0.00041205,1,0.0040003,-0.000391,0.004,-0.000391
3.0004,0.00043004,1,0.0050004,-0.0003825,0.005,-0.0003825
3.0558,0.00044885,1,0.0060004,-0.000374,0.006,-0.000374
3.1824,0.00048587,1,0.0070005,-0.0003655,0.007,-0.0003655
3.1149,0.0013612,1,0.0080006,-0.000357,0.008,-0.000357
2.6579,0.010587,1,0.0090006,-0.0003485,0.009,-0.0003485
2.6616,0.031252,1,0.010001,-0.00034,0.01,-0.00034
2.7057,0.045964,1,0.011001,-0.0003315,0.011,-0.0003315
2.6973,0.0569,1,0.012001,-0.000323,0.012,-0.000323
2.7392,0.070333,1,0.013001,-0.0003145,0.013,-0.0003145
2.5114,0.10975,1,0.014001,-0.000306,0.014,-0.000306
2.3678,0.20474,1,0.015001,-0.0002975,0.015,-0.0002975
2.1143,0.368,1,0.016001,-0.000289,0.016,-0.000289
1.7702,0.61268,1,0.017001,-0.0002805,0.017,-0.0002805
1.3558,0.93948,1,0.018001,-0.000272,0.018,-0.000272
0.92876,1.3092,1,0.019001,-0.0002635,0.019,-0.0002635
0.56058,1.6614,1,0.020001,-0.000255,0.02,-0.000255
0.30648,1.9362,1,0.021002,-0.0002465,0.021,-0.0002465
0.15691,2.123,1,0.022002,-0.000238,0.022,-0.000238
0.079255,2.2389,1,0.023002,-0.0002295,0.023,-0.0002295
0.041331,2.3096,1,0.024002,-0.000221,0.024,-0.000221
0.0030045,2.3657,1,0.025002,-0.0002125,0.025,-0.0002125
0.00019769,2.3878,1,0.026002,-0.000204,0.026,-0.000204
0.00012574,2.3976,1,0.027002,-0.0001955,0.027,-0.0001955
8.2098e-05,2.402,1,0.028002,-0.000187,0.028,-0.000187
5.5324e-05,2.4023,1,0.029002,-0.0001785,0.029,-0.0001785
3.8207e-05,2.3993,1,0.030002,-0.00017,0.03,-0.00017
2.6877e-05,2.3937,1,0.031002,-0.0001615,0.031,-0.0001615
1.9358e-05,2.3861,1,0.032002,-0.000153,0.032,-0.000153
1.4165e-05,2.3768,1,0.033002,-0.0001445,0.033,-0.0001445
1.0503e-05,2.3661,1,0.034002,-0.000136,0.034,-0.000136
7.9295e-06,2.3544,1,0.035003,-0.0001275,0.035,-0.0001275
6.0505e-06,2.3418,1,0.036003,-0.000119,0.036,-0.000119
4.6651e-06,2.3283,1,0.037003,-0.0001105,0.037,-0.0001105
3.6429e-06,2.3143,1,0.038003,-0.000102,0.038,-0.000102
2.8674e-06,2.2998,1,0.039003,-9.35e-05,0.039,-9.35e-05
2.2764e-06,2.2849,1,0.040003,-8.5e-05,0.04,-8.5e-05
1.8238e-06,2.2693,1,0.041003,-7.65e-05,0.041,-7.65e-05
1.4703e-06,2.2538,1,0.042003,-6.8e-05,0.042,-6.8e-05
1.1937e-06,2.2378,1,0.043003,-5.95e-05,0.043,-5.95e-05
9.7573e-07,2.2216,1,0.044003,-5.1e-05,0.044,-5.1e-05
8.0142e-07,2.2053,1,0.045003,-4.25e-05,0.045,-4.25e-05
6.6225e-07,2.1885,1,0.046003,-3.4e-05,0.046,-3.4e-05
5.5004e-07,2.1717,1,0.047003,-2.55e-05,0.047,-2.55e-05
4.5863e-07,2.155,1,0.048003,-1.7e-05,0.048,-1.7e-05
3.8446e-07,2.138,1,0.049004,-8.5e-06,0.049,-8.5e-06
3.2346e-07,2.1208,1,0.050004,0,0.05,0
2.7299e-07,2.1036,1,0.051004,8.5e-06,0.051,8.5e-06
2.3155e-07,2.0865,1,0.052004,1.7e-05,0.052,1.7e-05
1.9688e-07,2.0688,1,0.053004,2.55e-05,0.053,2.55e-05
1.6792e-07,2.0516,1,0.054004,3.4e-05,0.054,3.4e-05
1.4375e-07,2.034,1,0.055004,4.25e-05,0.055,4.25e-05
1.2333e-07,2.0165,1,0.056004,5.1e-05,0.056,5.1e-05
1.0609e-07,1.9989,1,0.057004,5.95e-05,0.057,5.95e-05
9.1544e-08,1.9813,1,0.058004,6.8e-05,0.058,6.8e-05
7.9138e-08,1.9638,1,0.059004,7.65e-05,0.059,7.65e-05
6.8571e-08,1.946,1,0.060004,8.5e-05,0.06,8.5e-05
5.9566e-08,1.9284,1,0.061004,9.35e-05,0.061,9.35e-05
5.182e-08,1.9108,1,0.062004,0.000102,0.062,0.000102
4.5183e-08,1.893,1,0.063005,0.0001105,0.063,0.0001105
3.9465e-08,1.8751,1,0.064005,0.000119,0.064,0.000119
3.4522e-08,1.8575,1,0.065005,0.0001275,0.065,0.0001275
3.0265e-08,1.8398,1,0.066005,0.000136,0.066,0.000136
2.6566e-08,1.822,1,0.067005,0.0001445,0.067,0.0001445
2.3345e-08,1.8043,1,0.068005,0.000153,0.068,0.000153
2.0554e-08,1.7862,1,0.069005,0.0001615,0.069,0.0001615
1.8121e-08,1.7686,1,0.070005,0.00017,0.07,0.00017
1.5991e-08,1.751,1,0.071005,0.0001785,0.071,0.0001785
1.4133e-08,1.7329,1,0.072005,0.000187,0.072,0.000187
1.2504e-08,1.7154,1,0.073005,0.0001955,0.073,0.0001955
1.1075e-08,1.6978,1,0.074005,0.000204,0.074,0.000204
9.8195e-09,1.6796,1,0.075005,0.0002125,0.075,0.0002125
8.7144e-09,1.662,1,0.076005,0.000221,0.076,0.000221
7.7425e-09,1.6444,1,0.077006,0.0002295,0.077,0.0002295
6.8835e-09,1.6262,1,0.078006,0.000238,0.078,0.000238
6.1257e-09,1.6087,1,0.079006,0.0002465,0.079,0.0002465
5.4565e-09,1.5909,1,0.080006,0.000255,0.08,0.000255
4.864e-09,1.5732,1,0.081006,0.0002635,0.081,0.0002635
4.3377e-09,1.5555,1,0.082006,0.000272,0.082,0.000272
3.8682e-09,1.5376,1,0.083006,0.0002805,0.083,0.0002805
3.4372e-09,1.5198,1,0.084006,0.000289,0.084,0.000289
3.039e-09,1.5019,1,0.085006,0.0002975,0.085,0.0002975
2.6743e-09,1.4845,1,0.086006,0.000306,0.086,0.000306
2.3387e-09,1.467,1,0.087006,0.0003145,0.087,0.0003145
2.0305e-09,1.4487,1,0.088006,0.000323,0.088,0.000323
1.7523e-09,1.4315,1,0.089006,0.0003315,0.089,0.0003315
1.498e-09,1.4135,1,0.090007,0.00034,0.09,0.00034
1.2681e-09,1.3958,1,0.091007,0.0003485,0.091,0.0003485
1.0614e-09,1.3783,1,0.092007,0.000357,0.092,0.000357
8.7582e-10,1.3606,1,0.093007,0.0003655,0.093,0.0003655
7.1155e-10,1.343,1,0.094007,0.000374,0.094,0.000374
5.6737e-10,1.3253,1,0.095007,0.0003825,0.095,0.0003825
4.4136e-10,1.3075,1,0.096007,0.000391,0.096,0.000391
3.3302e-10,1.2896,1,0.097007,0.0003995,0.097,0.0003995
2.4144e-10,1.2724,1,0.098007,0.000408,0.098,0.000408
1.6535e-10,1.2546,1,0.099007,0.0004165,0.099,0.0004165
1.0536e-10,1.237,1,0.10001,0.000425,0.1,0.000425
